front,back,tags,sources,decks,id
What are the advantages of loose contracts?,"* Highly decoupled 
* Easier to evolve","software architecture,contracts",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,LxI7Y4IYTGhlJZo9MuRp
What are the four Brahma-vihara?,"* Loving-kindness (Pāli: mettā, Sanskrit: maitrī) is active good will towards all.

* Compassion (Pāli and Sanskrit: karuṇā) results from metta, it is identifying the suffering of others as one's own.

* Sympathetic joy (Pāli and Sanskrit: muditā): is the feeling of joy because others are happy, even if one did not contribute to it, it is a form of sympathetic joy.

* Equanimity (Pāli: upekkhā, Sanskrit: upekṣā): is even-mindedness and serenity, treating everyone impartially.","meditation,happiness,buddhism",https://en.wikipedia.org/wiki/Brahmavihara,Mindfulness,M29wUKmUdMHfANZRJA5c
What is the purpose of *end-to-end tests*?,"To verify that a system meets external requirements and achieves its goals, testing the entire system, from end to end.","testing,quality assurance,end-to-end tests",https://martinfowler.com/articles/microservice-testing/fallback.html,Testing Strategies,MaOyADdhCduVjSeWtn9Q
What is the component identification flow?,"1. Identify initial components
2. Assign requirements to components
3. Analyse roles and responsibilities
4. Analyse architecture characteristics
5. Restructure components -> Goto 3",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,MkFtvYxc2dt0hFvJQVzE
What is product-led growth?,"Product-led growth (PLG) is a business methodology in which user acquisition, expansion, conversion, and retention are all driven primarily by the product itself.","Product,Tech,Growth",https://www.productled.org/foundations/what-is-product-led-growth,,Mx7pEUQM5cSD89SLbIgy
What questions should you ask to figure out whether to use component-based decomposition or tactical forking?,"1. Is modularity justified? No -> Keep monolith.
2. Is codebase decomposable? No -> Keep monolith.
3. Are the components definable? No -> Use *tactical forking*.
4. Use *component-based decomposition*.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,NHsw7ZhhyqyXRtgija5I
What is a *tuple space* in *space-based architecture*?,"* Each space is like a 'channel' in a message broker system that components can choose to interact with.

* Components can write a 'tuple' or 'entry' into a space, while other components can read entries/tuples from the space, but using more powerful mechanisms than message brokers.

* Writing entries to a space is generally not ordered as in a message broker, but can be if necessary.

* Designing applications using this approach is less intuitive to most people, and can present more cognitive load to appreciate and exploit.","software architecture,architecture styles",https://en.wikipedia.org/wiki/Space-based_architecture,Software Architecture,NSaxm77bR51vZ4O9CaLK
What four capabilities in *product and process* drive improvements in software delivery performance?,"* Gather and implement customer feedback.
* Make the flow of work visible through the value stream.
* Work in small batches.
* Foster and enable team experimentation.","software engineering,performance,product,process",Accelerate by Nicole Forsgren et al.,Effective Engineering,NdWLc2BbZfZifBXYC2o4
What is the *pipeline architecture style*?,"The pipeline architecture (known from e.g., *bash*) has two components - *pipes* and *filters*. Pipes form the communication channel between filters. It is typically unidirectional and point-to-point. Filters are self-contained components, usually stateless and should perform one task only.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,NipnGHq6MLwtc7y9ffuC
What are strategic questions you can ask yourself and your team?,"How are things currently going with [xyz project], 1-10 scale? What would move it one point?

How satisfied are you with [the amount of feedback you are getting]? What would move it one point?

How would you rate the usefulness of our 1-on-1s? What would move it one point?

How clear do you feel about your priorities? What would move it one point?","strategy,gap analysis",https://emmasleep.eu.cultureamp.com/app/skills-coach/activity/72B60D1B1A5013E15530639DAE66DC580CB460E4B3F31FF068FF354059AF640C52137C4BD4D433454734A97030430AA5,Engineering Leadership,NyuumFauLCacSfvd0ZuZ
What are the trade-offs for shared library as a reuse pattern?,"### Pros
* Ability to version changes
* Shared code is compile-based, reducing runtime errors
* Good agility for code changes

### Cons
* Dependencies can be difficult to manage
* Code duplication in heterogeneous codebases
* Version deprecation can be difficult
* Version communication can be difficult","software architecture,reuse code",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,OA2bvNFwEbPwYgXiBpsB
What is a framework for iterative prompt development?,"1. Idea
2. Implementation 
3. Experimental result
4. Error analysis","prompt engineering,iterative prompt development",learn.deeplearning.ai/chatgpt-prompt-eng,Prompt Engineering,OCNOaV3pKrEDx9nUw0IO
What eight capabilities in *continuous delivery* drive improvements in software delivery performance?,"* Use version control for all production artifacts.
* Automate your deployment process.
* Implement continuous integration.
* Use trunk-based development methods.
* Implement test automation.
* Support test data management.
* Shift left on security.
* Implement continuous delivery.","software engineering,continuous delivery,performance",Accelerate by Nicole Forsgren et al.,Effective Engineering,OIuS4bPWqaP92Aq2WKPe
What are the six patterns to be applied when doing component-based decomposition?,"1. Identify and Size Components Pattern
2. Gather Common Domain Components Pattern
3. Flatten Components Pattern
4. Determine Component Dependencies Pattern
5. Create Component Domains Pattern
6. Create Domain Services Pattern","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,OOHdS6CsWsfsaPS2s5Tv
What is the *decorator/wrapper pattern*?,It is a structural design pattern that lets you attach new behaviors to objects by placing these objects inside special wrapper objects that contain the behaviors.,"design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,OZuIF274pIznjrGlbwpZ
What are three patterns for managing the workflow state in choreographed coordination?,"* Front controller pattern - one domain service owns the state
* Stateless choreography - no transient state is kept at all, so all services must be queried to know the state 
* Stamp coupling - state information is stored in the message contract sent between services","software architecture,distributed workflow management",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,OfQld2nCia3dMxKOGPQT
What are seven approaches to managing technical quality?,"1. fix the **hot spots** that are causing immediate problems
2. adopt **best practices** that are known to improve quality
3. prioritize **leverage points** that preserve quality as your software changes
4. align **technical vectors** in how your organization changes software
5. **measure technical quality** to guide deeper investment
6. spin up a **technical quality team** to create systems and tools for quality
7. run a **quality program** to measure, track and create accountability","quality,engineering leadership",https://staffeng.com/guides/manage-technical-quality,Engineering Leadership,PCo71BDGNhZ6uvz16eep
Where is the biological clock located?,"It is located in the middle of the brain, i.e., in the suprachiasmatic nucleus.","sleep,health,biology",Why We Sleep by Matthew Walker,Bodily Understanding,PT9JEEyfJt7BhTHMIt5q
What are five good questions to ask when evaluating a piece of code?,"* Is the tech deployable?
* Is it testable?
* Is it possible to control the variables?
* Is it fast enough for continuous delivery?
* If needed to interface with, does it force a specific programming model?","software engineering,evaluation",Modern Software Engineering by David Farley,Effective Engineering,PV5CnTVC6xlVfx3gz6h7
What are 5 heuristics to measure managerial impact?,"* Execution - does your team consistently deliver promises or excuses? 
* People management - is your team a revolving door or a nursery where careers blossom?
* Team development - does your team have two years of experience or one year of experience repeated twice? 
* Strategic vision - where do you see your team in a quarter, six months, and a year?
* Organizational influence - when was your team’s last contribution to the larger organization?","measurement,heuristics,evaluation,leadership",https://abdulapopoola.com/2023/01/09/evaluating-managers-5-heuristics-to-measure-managerial-impact,Engineering Leadership,Puvh8ouJNhgCuaDhSHMd
What five principles do we need to become experts at managing complexity?,"* Modularity
* Cohesion
* Separations of Concerns
* Abstraction
* Loose Coupling","software engineering,performance,strategy,software architecture",Modern Software Engineering by David Farley,Software Architecture,Q8sRdR1YAermavJAFF4F
What is Process-C: The circadian rhythm of the suprachiasmatic nucleus?,"It is the wake drive, and one of the two processes that regulates sleep. The circadian rhythm, also called biological clock, is impacted by sunlight and aligns roughly with the length of a day.","sleep,health,biology",Why We Sleep by Matthew Walker,Bodily Understanding,QO5Dl8cdZBE0YvJn0Wql
What are the disadvantages of strict contracts?,"* Tight coupling - a contract change might force all services using it to change
* Versioned - without a clear deprecation strategy or trying to support too many versions quickly become an integration nightmare","software architecture,contracts",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,Qhx5GIeCHm1zBBrLyGD0
How should cross-application communication be handled in *micro frontends*?,"The general rule is to keep it at a minimum, but three potential approaches are:

* Custom events
* React model of passing callbacks and data downwards
* Use the address bar as a communication mechanism","software architecture,micro frontends",https://martinfowler.com/articles/micro-frontends.html,Software Architecture,QwNJw7nsjv8oNGKhaNdw
What is Time to Interactive?,The TTI metric measures the time from when the page starts loading to when its main sub-resources have loaded and it is capable of reliably responding to user input quickly.,"web vitals,performance,measurement",https://web.dev/tti/,Web App Architecture,R7JcYwBiUrU6iNjjciWU
What are good questions to ask to evaluate *organizational influence*?,"* Are you sharing best practices with your colleagues? 
* Are you trying to improve the larger organization? 
* Do you seek to learn and adopt best practices from peers? 
* Do you reinvent the wheel? 
* Do you know your first team?
* What’s your ‘brand’ in the org?","measurement,heuristics,evaluation,leadership",https://abdulapopoola.com/2023/01/09/evaluating-managers-5-heuristics-to-measure-managerial-impact,Engineering Leadership,REKSwf2Cye8leKB5puhT
Why does cognitive distortion arise when we are anxious?,"When we get anxious, the amygdala, the threat center of our brain, turns on, which in turn turns off our prefrontal cortex, our thinking brain. 

As a result, we see the world in a distorted way. We start to misinterpret information as threat, and believe that our thoughts are facts, instead of just thoughts. 

We may feel that something bad is about to happen, and so we start to feel more and more anxious.","mental health,cognitive distortion",https://www.tenpercent.com/meditationweeklyblog/anxiety,Mindfulness,REtZLt67FhFumTsKefbI
What are three different types of mutation testing?,"1. Value mutations: changes the value either to a much larger value or to a much smaller value to detect errors in the program.

2. Decision mutations: arithmetic, relational and logical operators are changed to detect the errors in the program.

3. Statements mutations: statements are changed either by deleting the statements or by duplicating the lines to detect errors in the program","software engineering,testing",https://www.google.com/amp/s/www.softwaretestingclass.com/mutation-testing-advantages-and-disadvantages/amp/,Software Architecture,RLubwAPjv8zZpsx6aD0v
What is the Total Blocking Time?,The Total Blocking Time (TBT) metric measures the total amount of time between First Contentful Paint (FCP) and Time to Interactive (TTI) where the main thread was blocked for long enough to prevent input responsiveness.,"web vitals,performance,measurement",https://web.dev/tbt/,Web App Architecture,RQzSwMf7P5RKPJeMoiCS
What are the five steps of decomposing monolithic data?,"1. Analyze database and create data domains
2. Assign tables to data domains, move tables
3. Separate database connections to data domains
4. Move schemas to separate database servers
5. Switch over to independent database servers","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,Rce5vTBxG5yjrNEVOJn2
What five approaches do we need to become experts at learning?,"* Iteration
* Feedback
* Incrementalism
* Experimentation
* Empiricism","software engineering,performance,strategy",Modern Software Engineering by David Farley,Effective Engineering,RoqIFeJES1aApjd7kaIb
What is the *Create Component Domains Pattern*?,The purpose of the pattern is to logically group components together so that a more coarse-grained domain service can be created when breaking up an application. This is a manual process and can be effectively manifested by the component namespaces (directories) in the codebase.,"software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,SvyTCBJlgXqn1AR6zrv2
What are the four disadvantages with orchestration coordination?,"* Responsiveness 
* Fault tolerance 
* Scalability 
* Service coupling","software architecture,distributed workflow management",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,Sz5AVMgKyq3v0miJkwTB
What is the *Create Domain Services Pattern*?,"The purpose of the pattern is to finally break apart the application and deploy separate domain services. 

Only initiate this pattern after *all* of the components domains have been identified and refactored. This helps reduce the amount of modification needed for each service when moving components.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,T3rG2ZKMesjMQ1zDVeKv
What is *cyclomatic complexity*?,"It is a way to measure the complexity of code.

`$CC = E - N + 2$,`

where **N** is lines of code (nodes), and **E** possible decisions (edges). They higher the value, the higher the complexity.","software architecture,measurement",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,TOFZDgkS6aO4pTzsckr0
What are two challenges with *event-driven architecture*?,"* Complex error handling
* Preventing data loss","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,TWupmysUrn76cB2deMr9
What is the third level of mind?,"The Awake-Aware Mind

Local awareness knows spacious awareness as itself through awareness of awareness. The awake-aware mind level can be called spacious awareness. The experience is contentless, boundless, and timeless. Spacious awareness then can witness from this open sky of awareness back to our contents of mind through effortless awareness.","meditation,open-hearted awareness,buddhism,happiness,effortless mindfulness",Shift Into Freedom by Loch Kelly,Mindfulness,TgykXHpLK9slDgyMeWdX
What is the *Fairy Tale Saga Pattern*?,"A pattern that is synchronous, exhibits eventual consistency and is orchestrated. Generally the pattern offers fairly good trade-offs. The pattern features high coupling, very low complexity, medium availability and high scalability.","software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,TpXXn2345sCCfS8SNV4y
How is your IQ affected by frequent interruptions compared to being to focus on one thing?,"Frequent interruptions will lower your IQ with up to 10 points. 

In summary, when you jump between multiple tasks, you will do all of them much worse compared to if you focus on each separately until they are done.","productivity,cognition,intelligence",Jordan Harbinger Podcast #707,Life Hacks,U2ClsrFefdilYIvlDgXA
What metrics does Laura Tacho suggest a bigger company implement?,"* DORA metrics

* Developer attrition

* Satisfaction with developer tools and working environment","engineering productivity,dora,space,metrics",https://newsletter.pragmaticengineer.com/p/engineering-productivity,Effective Engineering,U2fRpsMN8QoVHto4BDi3
What are three ingredients to successful communication?,"* Clarify your logic
* Think about what the audience might hear, not just what you say
* Be all parts of yourself (e.g., strict person, humorous person)","strategy,communication",Think fast talk smart podcast,Clear Communication,U5RJ5h4ChKy8aqIX1iZq
What is the *technical debt quadrant*?,"A quadrant that categorises tech debt in a quadrant with reckless/prudent on the x-axis and deliberate/inadvertent on the y-axis.

* Quadrant 1 (prudent/deliberate) - we must ship now and deal with the consequences.
* Quadrant 2 (reckless/deliberate) - we don't have time for design.
* Quadrant 3 (reckless/inadvertent) - what's layering?
* Quadrant 4 (prudent/inadvertent) - now we know how we should have done it.","software architecture,technical debt",https://martinfowler.com/bliki/TechnicalDebtQuadrant.html,Software Architecture,U6OBnbtbmJleeLyh8nNo
What is the *Anthology Saga Pattern*?,"A pattern that is asynchronous, exhibits eventual consistency and is choreographed. Works best for simple, mostly linear workflows, where very high throughput is required. The pattern features very low coupling, high complexity, high availability and very high scalability.","software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,UItgYi8nPAX0jdqiOtj1
What are the eight main types of cognitive distortion?,"* All-or-nothing thinking
* Jumping to conclusions
* Emotional reasoning 
* Should/shouldn't and must/mustn't statements
* Gratitude traps
* Blaming others
* Minimizing-mislabeling
* Assuming the worst","mental health,cognitive distortion",https://en.m.wikipedia.org/wiki/Cognitive_distortion,Mindfulness,UTW2HdgRszJK6Us2w7ks
What is the First Input Delay?,"FID measures the time from when a user first interacts with a page (i.e. when they click a link, tap on a button, or use a custom, JavaScript-powered control) to the time when the browser is actually able to begin processing event handlers in response to that interaction. Should be 100ms or less.","web vitals,performance,measurement",https://web.dev/fid/,Web App Architecture,UfC32nMNAn1ygO2Eil9O
What is software engineering?,"The application of an empirical, scientific approach to finding efficient, economic solutions to practical problems in software.",software engineering,Modern Software Engineering by David Farley,Effective Engineering,UwTpDW3kfO1E7kfrezTF
What are the advantages of choreographed coordination?,"* Responsiveness 
* Scalability 
* Fault tolerance 
* Service decoupling","software architecture,distributed workflow management",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,V6YVG496iXZFtFdWBy7y
What is an important limitation of ChatGPT?,"Hallucinations, i.e., the model gives an answer that sounds plausible but is wrong.","prompt engineering,limitations",learn.deeplearning.ai/chatgpt-prompt-eng,Prompt Engineering,VGxZcuQrnwsBUwOAsw1D
What is motivation 2.0?,"Rewarding and activity will get you more of it. Punishing an activity will get you less of it. 

Also knows as carrots and sticks.",motivation,Drive by Daniel Pink,Motivation,VIRn1E53L9nvDLu5RdN6
What is *nemawashi*?,To gather feedback from and align with your peers and stakeholders before the presentation. This is effective at reducing surprises. Some of your peers should have experience presenting to the executives and will have useful feedback on improvements.,nemawashi,https://staffeng.com/guides/present-to-executives,Clear Communication,VX6F5qIsUbRi4Xsipbvw
What does *ACID* stand for in transactions?,"* Atomicity - all changes in a request either succeed or they are all rolled back

* Consistency - data can never be left in an inconsistent state after a transaction (including respecting contraints)

*  Isolation - the changes of a transaction are never visible until after the transaction has finished 

* Durability - once a transaction succeeds it is guaranteed that all changes are permanent (regardless of future system failures)","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,VYHC1d8yCyMhiSlEyFIe
How does the domain concern *mergers and acquisitions* translate to architecture characteristics?,"* Interoperability
* Scalability
* Adaptability
* Extensibility","software architecture,architectural characteristics",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,ViisbV7lNdHy1ngznrVi
What are the three interlocking forces at play in dynamic coupling?,"* Communication: synchronous or asynchronous.
* Consistency: atomicity or eventual consistency.
* Coordination: orchestrator or choreography.","software architecture,dynamic coupling",Software Architecture: The Hard Parts by Neil Ford et al.,Software Architecture,Vja3uLGRbZ8pRrDVgcBU
When to use the *microkernel architecture style*?,"For applications where user customisation and feature extensibility are important. The style does not scale well and is not fault tolerance, making it less suitable for larger and more complex use cases.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,VjbNAlL10D6wWYOCtKK3
When should shared data be considered a granularity integrator?,"* Specific shared domain functionality
* Frequent shared code changes
* Defects / changes in business rules that cannot be versioned (if changes that must be applied to all services at the same time happens often, consider consolidating these)","software architecture,service granularity",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,VtNBbnnhlelxKWZkJY5b
What is the *command pattern*?,"It is a behavioral design pattern that turns a request into a stand-alone object that contains all information about the request. This transformation lets you pass requests as a method arguments, delay or queue a request’s execution, and support undoable operations.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,W47LbYelYz0BMnTVJiiN
What are the two possible coordination patterns for distributed workflows?,Orchestration and choreography.,"software architecture,distributed workflow management",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,WFfWodj28oa5ApDxTBeb
Is procrastination a time management problem or emotional problem?,"Contrary to common belief, procrastination is more of an emotional problem than a time management problem. There are unpleasant emotions associated with a task which cause avoidance of doing the task.","procrastination,perfectionism",Ten Percent Happier Podcast: Adam Grant on Perfectionism,Motivation,WWWrSPcIfmpQfKEVryOr
What is the *Goals/Signals/Metrics (GSM)* framework?,"A framework from Google to guide metrics creation. The steps are: create goals first, then signals, and finally metrics.

* A **goal** is a desired end result. It’s phrased in terms of what you want to understand at a high level and should not contain references to specific ways to measure it.

* A **signal** is how you might know that you’ve achieved the end result. Signals are things we would like to measure, but they might not be measurable themselves.

* A **metric** is proxy for a signal. It is the thing we actually can measure. It might not be the ideal measurement, but it is something that we believe is close enough.","engineering productivity,gsm,framework",https://medium.com/oreillymedia/measuring-engineering-productivity-a6da8605ffae,Effective Engineering,WldSWIJnZri4e5GXNTWR
What are two principles for effective prompting?,"1. Write clear and specific instructions 
2. Give the model time to think","principles,prompt engineering",learn.deeplearning.ai/chatgpt-prompt-eng,Prompt Engineering,X3D4vl9BwbXLefSpSpda
What metrics can be used to measure if a codebase is decomposable?,"* Afferent coupling - incoming connections to a code artifact.
* Efferent coupling - outgoing connections to a code artifact.
* Abstractness - the ratio of abstract artifacts (classes, interfaces, etc.) to concrete artifacts implementation classes.
* Instability - the ratio of efferent coupling to the sum of efferent and afferent coupling.
* Distance from the main sequence - how close a code artifact is to an ideal relationship between abstractness and instability.","software architecture,decomposition,measurement",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,XQGe79P2kBfH5oO84QSY
When to use the *observer pattern*?,"* When changes to the state of one object may require changing other objects, and the actual set of objects is unknown beforehand or changes dynamically.

* When some objects in your app must observe others, but only for a limited time or in specific cases.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,Xf3qe39tGCeK8CvJbKwi
What are the trade-offs for shared service as a reuse pattern?,"### Pros
* Good for high code volatility
* No code duplication in heterogeneous codebases
* Preserves the bounded context
* No static code sharing

### Cons
* Versioning changes can be difficult
* Performance is impacted due to latency
* Fault tolerance and availability issues due to service dependency
* Increased risk due to runtime changes","software architecture,reuse code",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,Xh580si5Uk2Vwfsnw6bP
What are the DORA metrics?,"* Deployment frequency: how often does the team release to production?

* MTTR (Mean Time to Recovery): how long does it take to recover from a failure in production?

* Change failure rate: of all releases, how many contain a defect?

* Lead time: how long does it take for a commit to get to production?","engineering productivity,dora,metrics",https://newsletter.pragmaticengineer.com/p/engineering-productivity,Effective Engineering,XmNQdGcygBfrJc2aqvna
What are the two processes that regulate sleep?,"* Process-C: The circadian rhythm of the suprachiasmatic nucleus (wake drive)
* Process-S: The sleep pressure signal of adenosine (sleep drive)","sleep,health,biology",Why We Sleep by Matthew Walker,Bodily Understanding,Xq8iCTV6QorOICH9OSbr
What is the *SPACE* framework?,"It's a framework for understanding developer productivity. It groups activities and metrics under five dimensions:

* **Satisfaction and well-being** (fulfillment and happiness of developers)

* **Performance** (quality and impact of code written)

* **Activity** (count of actions or outputs in the workflow, e.g., PRs, commits, releases, on-call participation)

* **Communication and collaboration** (how people and teams communicate and work together)

* **Efficiency and flow** (ability to complete work or make progress on it with minimal interruptions or delays)","engineering productivity,space,metrics",https://queue.acm.org/detail.cfm?id=3454124,Effective Engineering,YJFZQIQvN60tFBAI5m9S
What are good questions to ask to evaluate *people management*?,"* How do you run your 1:1s?
* How well do you know each of your reports?
* Are opportunities aligned with individual career aspirations?
* What patterns emerge after reviewing your most recent three departures?
* What energizes your team? What drains your team?","measurement,heuristics,evaluation,leadership",https://abdulapopoola.com/2023/01/09/evaluating-managers-5-heuristics-to-measure-managerial-impact,Engineering Leadership,YL0q7VGDiABqA02qk7lW
What are the lessons learned regarding engineering productivity from Laura Tacho?,"* Align on the definition of developer productivity. 

* Stop chasing a single metric.

* Balance self-reported data with automatic measurements.

* Avoid vanity metrics. 

* Don’t let tools make decisions about what’s important for your team.

* Use metrics to measure system efficiency, not individual performance.

* Use DORA metrics to benchmark performance. 

* Development teams want to be consulted about their productivity and performance, not just informed of it.","engineering productivity,dora,space,metrics","https://newsletter.pragmaticengineer.com/p/engineering-productivity,https://leaddev.com/reporting-metrics/five-engineering-kpis-consider-your-next-board-meeting",Effective Engineering,YZp9HNNpBjKKjvWBm1tW
What is the *basal cost* of a feature?,"A weekly or monthly cost only associated with the existence of this feature in our system.

Naming comes from the Basal Metabolic Rate of a human body.","software engineering,cost",https://www.eferro.net/2021/02/basal-cost-of-software.html,Effective Engineering,YhxoyvfKezylAowmAgIe
How does the domain concern *competitive advantage* translate to architecture characteristics?,"* Agility
* Testability
* Deployability
* Scalability
* Availability
* Fault tolerance","software architecture,architectural characteristics",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,YmEv0EjITi5I605jCwD0
What are 9 multipliers for boosting team productivity?,"* Observability (Time To detect, Time to repair, defect rates)
* Dev loop (Development rate)
* Test Stability (Defect rates, Merge rates, Pass rates)
* Release Agility (Lead time, cycle time, deploy rates)
* Documentation (Lead time, blockers)
* Automation (Time to mitigate, Time to repair)
* Experimentation (Experimentation rate)
* Hiring + Onboarding (Development rate, Time to the first PR)
* Infra as code	(Time to mitigate, lead time)","engineering productivity,multipliers",https://abdulapopoola.com/2022/01/03/9-multipliers-for-boosting-your-teams-productivity/,Effective Engineering,Yuzg6QKJdLzz7jzXR0TQ
What is an architectural fitness function?,Any mechanism that performs an objective integrity assessment of some architecture characteristic or combination of architecture characteristic.,"software architecture,architectural fitness function",Software Architecture: The Hard Parts by Neil Ford et al.,Software Architecture,Yx6RMjoqUOb4iTtKXAFX
What is *risk storming*?,"A collaborative exercise to identify architectural risk. It can be broken down into three activities:

* Identification - participants individually assess risks (impact x probability) along an architectural dimension/characteristics
* Consensus - put post-its with risks on relevant part on an architecture diagram, focus discussion on high risks and difference, with the aim of reaching consensus
* Mitigation - once consensus is reached, discuss how the risks identified can be prevented or mitigated",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,Z5GwITKBi5cFQ02Ht0Vd
What is the *Fantasy Fiction Saga Pattern*?,"A pattern that is asynchronous, atomic and orchestrated. Not a very attractive combination. The pattern features high coupling, high complexity, low availability and low scalability.","software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,ZJDjiopitNmvQyaA2sao
What is the *microservices architecture style*?,"A distributed architecture which is heavily inspired by *domain-driven design*. The architecture consists of single-purpose services, with their own (i.e., isolated from other services) databases. The services typically communicate with each other asynchronously. Each services models a domain or workflow, i.e., a *bounded context*. The style is highly scalable, elastic and evolutionary.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,ZPByfxwxRWNJo9QGSCh6
What is the *singleton* pattern?,"It is a creational design pattern that lets you ensure that a class has only one instance, while providing a global access point to this instance.","design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,Za1cvbEmHQWSAdPL76j6
What are the six reasons for applying the granularity disintegrators?,"* Service scope - single-purpose services with tight cohesion
* Code volatility - agility (reduces testing scope and deployment risk)
* Scalability - lowers costs and faster responsiveness
* Fault tolerance - better overall uptime
* Security access - better security access control to certain functions
* Extensibility - agility (ease of adding new functionality)","software architecture,service granularity",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,ZxNsG3ZXIdTdGN3osQhY
What is the *composite/object tree pattern*?,It is a structural design pattern that lets you compose objects into tree structures and then work with these structures as if they were individual objects.,"design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,aAlvjH1YLNd1a5z7XOY2
What fitness functions for governance can be implemented as part of the *Create Domain Services Pattern*?,* All components in <some domain service> should start with the same namespace,"software architecture,decomposition,architectural fitness function",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,aHTnwR7EAnPBVY3QYlMl
How does the domain concern *user satisfaction* translate to architecture characteristics?,"* Performance
* Availability
* Fault tolerance
* Testability
* Deployability
* Agility
* Security","software architecture,architectural characteristics",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,aMcK0Rd3uJ9f2LZLg6eL
What are three monolithic architecture styles?,"* Layered
* Pipeline
* Microkernel","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,af7igRGlctMmPeJSVvki
What is the three step process for modern trade-off analysis?,"1. Find what parts are entangled together.
2. Analyze how they are coupled to one another.
3. Assess trade-offs by determining the impact of change to interdependent systems.",software architecture,Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,afc8OeuuuYRGOEkiYP3q
What are Buddha’s five strategies to tackle distraction?,"* Replace unwholesome thoughts with wholesome thoughts 
* Examine the danger in the thoughts
* Avoid it, ignore it and forget it
* Investigate the causes of distraction
* Apply determination and resolve","meditation,happiness,buddhism",10 percent happier podcast,Mindfulness,ag9q5Aett7ckHPPXme7c
What is abstractness?,"The ratio of abstract artifacts (classes, interfaces, etc.) to concrete artifacts (implementation classes).

Abstractness, **A**, is defined as:

`$ A = \dfrac{\sum M_a} { \sum M_c + \sum M_a },$`

where **Ma** represents abstract elements and **Mc** represents concrete elements.

A higher value of **A** indicates the code has more abstract elements and is therefore easier to understand.","software architecture,decomposition,measurement",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,awIg9b3imkYWP4SHU8FI
What are the six main granularity disintegrators?,"* Service scope and function - is the service doing too many unrelated things?
* Code volatility - are changes isolated to only one part of the service?
* Scalability and throughput - do parts of the service need to scale differently?
* Fault tolerance - are there errors that cause critical functions to fail within the service?
* Security - do some parts of the services need higher security levels than others?
* Extensibility - is the service always expanding to add new contexts? Only apply this if it is known ahead of time that additional functionality is planned (e.g., payment methods).","software architecture,service granularity",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,awNd45B0EDE1jpSIyFK6
What is *testability*?,The ease and completeness of testing.,"software architecture,testing",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,b8xsoDeTtVUlsequQTlR
What is the purpose of *unit tests*?,To exercise the smallest pieces of testable software in the application to determine whether they behave as expected.,"testing,quality assurance,unit tests",https://martinfowler.com/articles/microservice-testing/fallback.html,Testing Strategies,bDTc1FRqN9SQo9GyhzuI
